Ereignis-Nr,xcoord,ycoord,label,alti,slope,aspect,bulk_density,sand,usda_classes,silt,clay,coarse_fragments,avail_water_capacity,land_cover,tree_cover_density,obs_period_max,saturated_water_content,alpha_mrc,n_mrc
LU-2005-R-30023,7.99961124727597,46.900328157462,1,1090.3,33.35491,130.99847,0.9722589,27.403915,9.0,43.88468,28.711401,25.890602,0.10377758,25.0,68.0,84.249985,5556.0,136.0,12642.0
LU-2005-R-30024,7.99014627805992,46.8987998985402,1,1375.9,28.459562,160.38118,1.0231004,38.049026,9.0,36.42553,25.525446,26.567162,0.12548278,26.0,0.0,84.52583,5806.0,158.0,12858.0
LU-2005-R-30025,8.00692225811069,46.9029008192247,1,908.3,19.310987,154.67381,0.9246514,27.160225,6.0,39.812088,33.027687,27.185526,0.13252039,20.0,0.0,83.94308,5349.0,124.0,12442.0
LU-2005-R-30026,8.00366486314672,46.9051657974722,1,1043.2,24.16985,69.15974,0.9246514,27.160225,9.0,39.812088,33.027687,26.96787,0.12049383,25.0,95.0,83.88644,5427.0,124.0,12503.0
LU-2005-R-30027,7.98033704273743,46.9021300371748,1,1573.1,33.529583,168.87833,1.0127819,23.52147,6.0,44.058285,32.420246,25.12668,0.113721825,26.0,0.0,84.67181,5814.0,161.0,12973.0
LU-2005-R-30028,7.9847225781727,46.9010297655772,1,1471.5,31.928099,182.3612,1.0231004,41.140945,6.0,36.57289,22.286165,25.12668,0.10360919,26.0,66.0,84.595924,5816.0,164.0,12994.0
LU-2005-R-30029,7.99348704271662,46.910972626895,1,1504.7,32.43268,137.43591,0.9726215,42.711506,9.0,32.237045,25.051449,20.880093,0.10590183,24.0,0.0,83.934586,5854.0,147.0,12867.0
LU-2005-R-30030,7.99823390774408,46.9130185024971,1,1396.2,21.364384,197.67076,0.9726215,31.37754,6.0,41.921837,26.70062,27.475992,0.11006468,26.0,0.0,83.722,5813.0,147.0,12795.0
LU-2005-R-30031,7.99701743271824,46.9096421427497,1,1353.0,25.561823,120.95783,0.9726215,42.711506,6.0,32.237045,25.051449,22.060211,0.11006468,24.0,0.0,83.88578,5813.0,147.0,12795.0
LU-2005-R-30032,7.99495291014595,46.9003958470745,1,1260.7,32.63614,112.34072,0.95490897,43.637756,6.0,28.369888,27.992352,24.163017,0.125216,26.0,0.0,84.35307,5525.0,137.0,12614.0
LU-2005-R-30033,7.9939809127802,46.8952281627386,1,1154.6,26.735521,152.08788,0.97151643,41.2703,9.0,33.08265,25.647047,26.295992,0.12548278,25.0,77.0,84.576126,5709.0,151.0,12801.0
LU-2005-R-30034,8.00291999037814,46.8967137166001,1,974.6,27.70044,141.6336,1.0372483,30.890007,9.0,45.66781,23.442184,28.187895,0.13000126,24.0,88.0,84.320526,5584.0,139.0,12548.0
LU-2005-R-30035,7.99937035735646,46.8961014604338,1,1046.5,35.31175,130.61978,1.0372483,30.890007,9.0,45.66781,23.442184,28.187895,0.13000126,20.0,0.0,84.413895,5704.0,146.0,12674.0
LU-2005-R-30036,8.00127893531977,46.9029286689271,1,1072.0,27.448492,110.58998,0.9246514,27.160225,9.0,39.812088,33.027687,25.890602,0.10377758,25.0,87.0,84.090256,5556.0,136.0,12642.0
LU-2005-R-30037,8.00147695632731,46.9093144811811,1,1196.1,32.09179,112.79331,0.9246514,36.334694,6.0,37.641624,26.02368,22.060211,0.12049383,24.0,80.0,83.755264,5372.0,123.0,12468.0
LU-2005-R-30038,7.99687367411164,46.9084374510099,1,1334.8,27.723335,139.43849,0.9726215,42.711506,6.0,32.237045,25.051449,22.060211,0.12826037,26.0,78.0,83.96449,5813.0,147.0,12795.0
LU-2005-R-30039,7.9898610319548,46.9029841645472,1,1362.7,29.130238,133.67723,0.93159974,36.956482,6.0,34.548035,28.49548,24.163017,0.10360919,26.0,0.0,84.38461,5812.0,158.0,12943.0
LU-2005-R-30040,8.02486590121895,46.9115360425179,1,1076.2,30.15983,269.73553,0.9192843,37.05368,6.0,42.307587,20.638731,23.923576,0.118440896,20.0,0.0,82.864235,5429.0,121.0,12489.0
LU-2005-R-30041,7.99064361071992,46.9012262809235,1,1327.9,22.516335,48.33098,1.0231004,38.049026,6.0,36.42553,25.525446,24.163017,0.125216,26.0,46.0,84.45522,5812.0,158.0,12943.0
LU-2005-R-30042,7.99015241542032,46.9006799225438,1,1356.9,31.021774,44.510925,1.0231004,38.049026,6.0,36.42553,25.525446,24.163017,0.125216,26.0,85.0,84.45522,5812.0,158.0,12943.0
LU-2005-R-30043,8.00411719197012,46.9107407581925,1,1176.9,26.390936,133.01486,0.9246514,36.334694,6.0,37.641624,26.02368,20.534258,0.11658758,26.0,0.0,83.62599,5368.0,121.0,12508.0
LU-2005-R-30044,7.99982591554615,46.9020362469394,1,1119.7,29.908361,104.28386,0.9722589,27.160225,9.0,39.812088,33.027687,25.890602,0.10377758,25.0,0.0,84.16803,5556.0,136.0,12642.0
LU-2005-R-30045,8.00959714280358,46.9100839036251,1,946.1,19.709621,134.40433,0.9791184,36.334694,6.0,37.641624,26.02368,20.534258,0.11658758,25.0,0.0,83.49629,5392.0,125.0,12515.0
LU-2005-R-30046,7.98864595690638,46.9060934380604,1,1492.7,27.53159,102.44206,0.93159974,36.956482,6.0,34.548035,28.49548,16.541296,0.123630874,26.0,0.0,84.28342,5859.0,161.0,13019.0
LU-2005-R-30047,7.99402823949627,46.8998156270198,1,1278.2,35.698925,127.909546,0.95490897,43.637756,6.0,28.369888,27.992352,24.163017,0.12548278,26.0,0.0,84.387436,5702.0,149.0,12693.0
LU-2005-R-30048,7.98184446906142,46.90194299194,1,1545.3,27.530552,156.53613,1.0127819,23.52147,6.0,44.058285,32.420246,25.12668,0.113721825,26.0,0.0,84.63582,5810.0,159.0,12977.0
LU-2005-R-30049,7.98092670946987,46.9020372935103,1,1555.3,26.506496,162.07906,1.0127819,23.52147,6.0,44.058285,32.420246,25.12668,0.113721825,26.0,0.0,84.67181,5814.0,161.0,12973.0
LU-2005-R-30050,7.98580812190846,46.9045328178135,1,1537.0,32.036903,131.99364,0.93159974,23.52147,9.0,44.058285,32.420246,31.754456,0.10360919,26.0,0.0,84.429245,5862.0,157.0,13011.0
LU-2005-R-30051,8.02871389067143,46.9152943959016,1,1327.9,35.40838,243.68748,0.99016297,37.901073,6.0,35.564102,26.534824,25.136465,0.13525885,24.0,57.0,82.49434,5610.0,137.0,12667.0
LU-2005-R-30052,7.99813719376844,46.9112918463809,1,1342.0,29.103914,29.595669,0.9726215,42.711506,6.0,32.237045,25.051449,27.475992,0.11006468,26.0,70.0,83.80233,5813.0,147.0,12795.0
LU-2005-R-30053,8.00346750434142,46.9113736447826,1,1223.4,37.467808,77.1438,1.00199,35.35881,6.0,38.372097,26.269093,18.686855,0.11006468,24.0,53.0,83.58258,5372.0,123.0,12468.0
LU-2005-R-30054,8.01025484151672,46.9077418014114,1,881.0,27.191982,134.09137,0.9791184,36.334694,6.0,37.641624,26.02368,20.534258,0.11785436,20.0,0.0,83.547935,5413.0,124.0,12430.0
LU-2005-R-30055,8.02253053229111,46.9140666999242,1,1035.0,36.19815,182.21864,0.98407024,37.05368,6.0,42.307587,20.638731,23.923576,0.100162014,20.0,86.0,82.78978,5419.0,125.0,12490.0
LU-2005-R-30056,8.00042399676384,46.9027529542412,1,1111.2,36.728115,95.74258,0.9722589,27.160225,9.0,39.812088,33.027687,25.890602,0.10377758,25.0,78.0,84.090256,5556.0,136.0,12642.0
LU-2005-R-30057,7.99522514389117,46.9013390497596,1,1232.9,26.954138,43.312828,0.95490897,43.637756,6.0,28.369888,27.992352,24.163017,0.125216,26.0,0.0,84.31453,5525.0,137.0,12614.0
LU-2005-R-30058,7.99499499496573,46.9070073129724,1,1296.5,32.942554,115.06871,0.9726215,42.711506,6.0,32.237045,25.051449,16.541296,0.12826037,26.0,79.0,84.04469,5622.0,143.0,12791.0
LU-2005-R-30059,7.99807103012617,46.9036640135916,1,1147.4,16.208553,86.62701,1.0544941,49.706116,6.0,29.177734,21.116154,22.742483,0.10377758,25.0,84.0,84.12367,5549.0,134.0,12622.0
LU-2005-R-30060,7.99793211577461,46.9092418819454,1,1296.6,30.517403,101.947525,0.9726215,42.711506,6.0,32.237045,25.051449,22.060211,0.12049383,24.0,82.0,83.88267,5813.0,147.0,12795.0
LU-2005-R-30061,8.02596900145078,46.9163879536289,1,1223.6,36.19775,190.90378,0.99016297,23.700478,6.0,48.951355,27.34817,23.923576,0.13525885,24.0,93.0,82.53343,5565.0,132.0,12687.0
LU-2005-R-30062,7.99669671964994,46.904030533834,1,1192.9,17.650139,102.95955,1.0544941,49.706116,6.0,29.177734,21.116154,22.742483,0.125216,25.0,85.0,84.16128,5549.0,134.0,12622.0
LU-2005-R-30063,7.99656547676997,46.9040311729319,1,1192.9,17.650139,102.95955,1.0544941,49.706116,6.0,29.177734,21.116154,22.742483,0.125216,25.0,69.0,84.16128,5549.0,134.0,12622.0
LU-2005-R-30064,7.99642304826303,46.9029524097866,1,1170.7,17.816347,99.72597,1.0544941,49.706116,9.0,29.177734,21.116154,25.890602,0.125216,25.0,85.0,84.20064,5525.0,137.0,12614.0
LU-2005-R-30065,7.99984279639438,46.9036553497468,1,1108.1,15.1566105,94.89394,0.9246514,27.160225,6.0,39.812088,33.027687,22.742483,0.10377758,25.0,75.0,84.086075,5535.0,133.0,12616.0
LU-2005-R-30066,8.00023839918478,46.9038333210008,1,1125.3,21.328972,131.46735,0.9246514,27.160225,6.0,39.812088,33.027687,22.742483,0.10377758,25.0,88.0,84.04847,5535.0,133.0,12616.0
LU-2005-R-30067,8.00436819101858,46.8971563490587,1,968.8,24.948027,146.68666,1.0372483,27.403915,3.0,43.88468,28.711401,21.293217,0.12069226,24.0,88.0,84.245186,5597.0,134.0,12596.0
LU-2005-R-30068,7.99912008503896,46.8972720978718,1,1076.5,8.952609,132.14046,0.97151643,43.637756,9.0,28.369888,27.992352,28.187895,0.13000126,20.0,86.0,84.37292,5704.0,146.0,12674.0
LU-2005-R-30069,8.00549634022814,46.9020982891849,1,924.8,32.034348,50.088192,0.9722589,27.160225,6.0,39.812088,33.027687,27.185526,0.13252039,25.0,100.0,84.02409,5349.0,124.0,12442.0
LU-2005-R-30070,8.00560038320703,46.9020078196016,1,924.8,32.034348,50.088192,0.9722589,27.160225,6.0,39.812088,33.027687,27.185526,0.13252039,25.0,100.0,84.02409,5349.0,124.0,12442.0
LU-2005-R-30071,8.00284910232316,46.9024711742554,1,1009.4,27.083502,112.16907,0.9722589,27.160225,9.0,39.812088,33.027687,25.890602,0.10377758,25.0,83.0,84.01666,5371.0,131.0,12476.0
LU-2005-R-30072,8.01619784988545,46.9111302833539,1,844.0,14.558599,256.5117,0.98407024,24.355423,9.0,46.567818,29.076761,20.864271,0.1094232,20.0,0.0,83.22921,5400.0,125.0,12478.0
LU-2005-R-30073,8.01553480014119,46.9105039398302,1,826.4,10.309712,263.33243,0.9962438,24.355423,6.0,46.567818,29.076761,27.132502,0.1094232,20.0,0.0,83.22921,5368.0,127.0,12510.0
LU-2005-R-30074,8.02409595063262,46.9131591654053,1,1060.3,24.145624,255.41124,0.9192843,37.05368,6.0,42.307587,20.638731,23.923576,0.100162014,20.0,70.0,82.79801,5445.0,123.0,12436.0
LU-2005-R-30075,7.99520277287225,46.9055220521038,1,1232.1,21.9022,131.18031,1.0544941,49.706116,6.0,29.177734,21.116154,16.541296,0.12826037,26.0,0.0,84.12179,5622.0,143.0,12791.0
LU-2005-R-30076,7.99909921309372,46.9040907718678,1,1144.1,18.439775,114.044815,1.0544941,49.706116,6.0,29.177734,21.116154,22.742483,0.10377758,25.0,62.0,84.086075,5535.0,133.0,12616.0
LU-2005-R-30077,7.99468975658478,46.9130357528658,1,1469.0,38.83867,101.79822,0.9726215,31.37754,9.0,41.921837,26.70062,20.880093,0.10590183,26.0,0.0,83.81341,5854.0,147.0,12867.0
LU-2005-R-30078,7.99271035808682,46.8992822790471,1,1300.0,31.26946,122.262146,0.95490897,43.637756,6.0,28.369888,27.992352,24.163017,0.12548278,26.0,0.0,84.458725,5709.0,151.0,12801.0
LU-2005-R-30079,7.9994471962244,46.9034773771198,1,1115.3,14.352412,112.02158,0.9246514,27.160225,6.0,39.812088,33.027687,22.742483,0.10377758,25.0,76.0,84.086075,5535.0,133.0,12616.0
LU-2005-R-30080,7.98889545368846,46.8984011161299,1,1314.5,27.132565,220.73634,1.0017694,38.049026,9.0,36.42553,25.525446,26.567162,0.11499218,26.0,0.0,84.59389,5806.0,158.0,12858.0
LU-2005-R-30081,8.00215018758604,46.9109303565747,1,1261.2,28.80581,112.12669,0.9246514,36.334694,6.0,37.641624,26.02368,27.475992,0.11006468,24.0,86.0,83.670074,5372.0,123.0,12468.0
LU-2005-R-30082,8.00215112943031,46.9110203065932,1,1261.2,28.80581,112.12669,0.9246514,36.334694,6.0,37.641624,26.02368,27.475992,0.11006468,24.0,86.0,83.670074,5372.0,123.0,12468.0
LU-2005-R-30083,7.99608894716979,46.9087111348627,1,1344.4,23.085516,121.42027,0.9726215,42.711506,6.0,32.237045,25.051449,22.060211,0.12826037,26.0,0.0,83.92513,5849.0,149.0,12868.0
LU-2005-R-30084,8.0242086180493,46.9114494482564,1,1061.0,20.005865,270.9794,0.9192843,37.05368,6.0,42.307587,20.638731,23.923576,0.100162014,20.0,60.0,82.909134,5445.0,123.0,12436.0
LU-2005-R-30085,8.02445743061176,46.9101888088107,1,1079.1,22.07365,264.9353,0.9620749,25.390549,6.0,45.109474,29.499977,24.037146,0.100162014,24.0,0.0,82.976974,5481.0,123.0,12468.0
LU-2005-R-30086,8.02144142771244,46.9104740520628,1,938.5,17.302198,276.31232,0.9962438,25.390549,6.0,45.109474,29.499977,24.037146,0.100162014,24.0,63.0,83.05287,5462.0,123.0,12450.0
LU-2005-R-30087,7.99719928870724,46.9018691717152,1,1184.7,20.85063,11.237293,0.95490897,43.637756,9.0,28.369888,27.992352,25.890602,0.10377758,26.0,0.0,84.24,5525.0,137.0,12614.0
LU-2005-R-30088,8.00115991577261,46.9040986650436,1,1100.6,24.640064,153.14735,0.9246514,27.160225,6.0,39.812088,33.027687,22.742483,0.10377758,25.0,74.0,84.04847,5535.0,133.0,12616.0
LU-2005-R-30089,7.99373423715138,46.8967585897253,1,1217.9,26.208183,125.25307,0.97151643,41.2703,9.0,33.08265,25.647047,26.567162,0.12548278,25.0,62.0,84.53839,5709.0,151.0,12801.0
LU-2005-R-30090,7.99203116018074,46.9098102567532,1,1481.5,29.428703,101.54222,0.9726215,29.730965,9.0,42.789955,27.479078,15.379167,0.10590183,26.0,83.0,84.01561,5849.0,149.0,12868.0
GR-2005-R-30091,9.81690740146901,46.9869145281015,1,2275.5,33.47726,159.57608,1.0818948,52.508057,8.0,33.255455,14.236486,29.631704,0.08325145,26.0,0.0,90.311295,5718.0,159.0,12966.0
GR-2005-R-30092,9.808642118011,46.9680073772927,1,1413.8,20.581322,93.07528,1.0629008,48.11471,9.0,37.34324,14.54205,26.254702,0.10062859,24.0,0.0,89.95209,5570.0,165.0,12901.0
GR-2005-R-30093,9.8257246234699,46.9781818812384,1,1714.1,29.75424,159.10455,1.0537354,48.104187,6.0,36.490032,15.40578,26.803345,0.09267008,26.0,0.0,90.90876,5484.0,151.0,12872.0
GR-2005-R-30094,9.82640345624871,46.9786626981493,1,1725.9,31.939894,154.55771,1.0537354,48.104187,6.0,36.490032,15.40578,26.803345,0.09267008,26.0,0.0,90.896355,5484.0,151.0,12872.0
GR-2005-R-30095,9.82562324615785,46.9788589402865,1,1743.2,41.844727,166.81096,1.0537354,48.104187,6.0,36.490032,15.40578,26.803345,0.09267008,26.0,0.0,90.896355,5484.0,151.0,12872.0
GR-2005-R-30096,9.80803961071881,46.9796738574669,1,1991.4,30.85224,120.591194,1.0780447,45.001904,9.0,38.30858,16.689518,29.51245,0.088776164,26.0,0.0,89.98586,5650.0,155.0,12807.0
GR-2005-R-30097,9.80706424495148,46.9799190029766,1,2032.5,30.384653,137.41046,1.0780447,45.001904,9.0,38.30858,16.689518,29.51245,0.09606072,26.0,0.0,89.91678,5650.0,155.0,12807.0
GR-2005-R-30098,9.80850680615587,46.9679201840437,1,1413.8,22.304028,107.49443,1.0629008,48.11471,9.0,37.34324,14.54205,26.254702,0.10062859,24.0,0.0,89.95209,5570.0,165.0,12901.0
GR-2005-R-30099,9.80783997496378,46.9691938717476,1,1446.6,15.035042,161.17708,1.0206817,48.11471,9.0,37.34324,14.54205,26.254702,0.10062859,18.0,0.0,89.961075,5570.0,165.0,12901.0
GR-2005-R-30100,9.80796933640501,46.9691462001444,1,1446.6,15.035042,161.17708,1.0206817,48.11471,9.0,37.34324,14.54205,26.254702,0.10062859,18.0,0.0,89.961075,5570.0,165.0,12901.0
GR-2005-R-30101,9.82917580252836,46.9774349812223,1,1584.0,29.515036,168.7376,1.0703584,48.104187,6.0,36.490032,15.40578,26.803345,0.10044017,18.0,0.0,91.13004,5515.0,149.0,12781.0
GR-2005-R-30102,9.80864555863233,46.9725519269021,1,1554.7,27.298485,172.12083,1.0206817,48.991333,6.0,37.211975,13.796692,26.535072,0.09404282,18.0,0.0,89.997025,5501.0,155.0,12903.0
GR-2005-R-30103,9.80617759328117,46.9732329002269,1,1630.9,40.956223,158.67047,1.0534579,48.991333,6.0,37.211975,13.796692,26.535072,0.0940468,18.0,0.0,89.93648,5531.0,158.0,12914.0
GR-2005-R-30104,9.79488869488088,46.9751394741706,1,1644.8,17.779455,226.7015,1.0284344,46.186058,9.0,31.490433,22.323511,27.234438,0.09973976,18.0,0.0,89.32607,5624.0,169.0,13003.0
GR-2005-R-30105,9.79765627269811,46.9767833737574,1,1746.6,29.626566,202.81873,1.0680606,49.28659,8.0,34.032425,16.680986,28.18154,0.09973976,18.0,72.0,89.45898,5631.0,165.0,13003.0
GR-2005-R-30106,9.79807012843945,46.9772248122627,1,1772.2,30.595398,202.20703,1.0709224,53.720078,8.0,29.432968,16.846954,28.18154,0.1014217,18.0,83.0,89.45898,5631.0,165.0,13003.0
GR-2005-R-30107,9.8072544407823,46.9723107185059,1,1548.6,25.364635,164.47472,1.0206817,48.991333,6.0,37.211975,13.796692,26.535072,0.0940468,18.0,0.0,89.92763,5531.0,158.0,12914.0
GR-2005-R-30108,9.81980685991664,46.9752002649173,1,1649.7,33.977528,138.38406,1.0516778,45.803402,6.0,38.248863,15.947734,31.342716,0.08993375,18.0,0.0,90.5823,5455.0,146.0,12746.0
GR-2005-R-30109,9.79714859232811,46.977198789073,1,1754.2,32.0804,211.45074,1.0680606,53.720078,8.0,29.432968,16.846954,28.18154,0.1014217,18.0,74.0,89.45898,5659.0,175.0,13041.0
GR-2005-R-30110,9.79742317764984,46.9774631125668,1,1792.9,38.865383,202.44983,1.0709224,53.720078,8.0,29.432968,16.846954,28.18154,0.1014217,24.0,77.0,89.450386,5659.0,175.0,13041.0
GR-2005-R-30111,9.79387883790301,46.9760961533542,1,1649.0,23.607134,231.7561,1.0284344,46.186058,9.0,31.490433,22.323511,27.234438,0.107106805,18.0,0.0,89.25814,5649.0,183.0,13217.0
GR-2005-R-30112,9.79477808639199,46.977112571685,1,1691.7,22.50664,205.27548,1.0284344,52.517483,9.0,29.934204,17.548317,27.234438,0.1014217,18.0,0.0,89.31972,5649.0,183.0,13217.0
GR-2005-R-30113,9.7948674511952,46.9776506853545,1,1728.2,35.967884,205.77087,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.1014217,18.0,73.0,89.311485,5649.0,183.0,13217.0
GR-2005-R-30114,9.79521758050013,46.9781384401506,1,1764.9,29.14768,223.06084,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.1014217,18.0,67.0,89.311485,5574.0,169.0,13145.0
GR-2005-R-30115,9.79482742300412,46.9782364557291,1,1754.9,28.42507,221.34537,1.1095569,52.517483,9.0,29.934204,17.548317,27.234438,0.1014217,18.0,58.0,89.311485,5577.0,172.0,13219.0
GR-2005-R-30116,9.79939367191179,46.9774225299838,1,1801.0,28.464619,191.34189,1.0709224,53.720078,8.0,29.432968,16.846954,28.18154,0.1014217,24.0,76.0,89.5286,5631.0,165.0,13003.0
GR-2005-R-30117,9.80000064207043,46.9777699907857,1,1857.2,25.084398,182.54771,1.0709224,53.720078,8.0,29.432968,16.846954,28.18154,0.1014217,24.0,66.0,89.58928,5631.0,165.0,13003.0
